gvkey,fs_month
1632,A-Oct
1633,A-Jul
1635,A-Jun
1638,A-Dec
1642,A-Sep
1643,A-Jun
1645,A-Dec
1646,A-Apr
1647,A-Mar
1648,A-Jan
1649,A-Jun
1650,A-Dec
1651,A-Sep
1652,A-Jul
1655,A-Jan
1657,A-Sep
1658,A-Oct
1659,A-Dec
1663,A-Dec
1664,A-Jul
1665,A-Jul
1666,A-Dec
1667,A-Mar
1669,A-Dec
1671,A-Dec
1672,A-Jun
1673,A-Dec
1677,A-Dec
1678,A-Dec
1679,A-Apr
1680,A-Dec
1682,A-Dec
1683,A-Dec
1685,A-Mar
1686,A-Feb
1687,A-May
1689,A-Dec
1690,A-Sep
1691,A-Apr
1692,A-Dec
1693,A-Jun
1694,A-Sep
1695,A-Oct
1696,A-Mar
1698,A-Dec
1699,A-Dec
1700,A-Oct
1701,A-Nov
1702,A-Sep
1703,A-Sep
1704,A-Oct
1706,A-Aug
1707,A-Oct
1708,A-Dec
1710,A-Dec
1711,A-Dec
1712,A-Dec
1713,A-Dec
1715,A-Oct
1717,A-Dec
1718,A-Jun
1719,A-Jan
1720,A-Jun
1722,A-Jun
1723,A-Jan
1724,A-Sep
1726,A-Dec
1728,A-Dec
1729,A-Dec
1730,A-Dec
1732,A-Dec
1733,A-Mar
1734,A-Jun
1741,A-Dec
1742,A-Dec
1743,A-Dec
1744,A-Dec
1745,A-Dec
1746,A-Dec
1749,A-Feb
1750,A-Jun
1751,A-Dec
1752,A-Dec
1753,A-Dec
1754,A-Sep
1755,A-Dec
1756,A-Jan
1757,A-May
1758,A-Dec
1761,A-Sep
1762,A-Dec
1763,A-Dec
1764,A-Jan
1766,A-Dec
1767,A-Nov
1770,A-Nov
1771,A-Nov
1772,A-Jun
1773,A-Dec
1775,A-Mar
1779,A-Dec
1780,A-Dec
1781,A-Dec
1784,A-Dec
1786,A-Dec
1787,A-Dec
1789,A-Dec
1793,A-Sep
1794,A-Sep
1796,A-Jan
1797,A-Jun
1798,A-Jun
1802,A-Dec
1803,A-Jan
1804,A-Jan
1806,A-Dec
1807,A-Sep
1808,A-Sep
1810,A-May
